1562064835403|1|statement|connection 1|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = ?                                                                and NAME = ? )|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = 0                                                                and NAME = '李四' )
1562064845112|1|statement|connection 1|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = ?                                                                and NAME = ? )|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = 0                                                                and NAME = 'l李四' )
1562064848544|1|statement|connection 1|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = ?                                                                and NAME = ? )|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = 0                                                                and NAME = '李四' )
1562065544448|4|statement|connection 1|insert into users      ( NAME,                       PASSWORD,                       TELEPHONE,                       ISADMIN )       values ( ?,                       ?,                       ?,                       ? )|insert into users      ( NAME,                       PASSWORD,                       TELEPHONE,                       ISADMIN )       values ( '',                       'd41d8cd98f00b204e9800998ecf8427e',                       '13296629349',                       0 )
1562065553343|5|statement|connection 1|insert into users      ( NAME,                       PASSWORD,                       TELEPHONE,                       ISADMIN )       values ( ?,                       ?,                       ?,                       ? )|insert into users      ( NAME,                       PASSWORD,                       TELEPHONE,                       ISADMIN )       values ( '',                       'd41d8cd98f00b204e9800998ecf8427e',                       '13296629349',                       0 )
1562065555435|3|statement|connection 1|insert into users      ( NAME,                       PASSWORD,                       TELEPHONE,                       ISADMIN )       values ( ?,                       ?,                       ?,                       ? )|insert into users      ( NAME,                       PASSWORD,                       TELEPHONE,                       ISADMIN )       values ( '',                       'd41d8cd98f00b204e9800998ecf8427e',                       '13296629349',                       0 )
1562068484442|1|statement|connection 1|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = ?                                                                and NAME = ? )|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = 0                                                                and NAME = '哈哈' )
1562068532485|1|statement|connection 1|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = ?                                                                and NAME = ? )|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = 0                                                                and NAME = '哈哈' )
1562078320066|2|statement|connection 1|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = ?                                                                and NAME = ? )|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = 0                                                                and NAME = '哈哈' )
1562078386163|2|statement|connection 1|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = ?                                                                and NAME = ? )|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = 0                                                                and NAME = '哈哈' )
1562078400072|12|statement|connection 1|insert into users      ( NAME,                       PASSWORD,                       TELEPHONE,                       ISADMIN )       values ( ?,                       ?,                       ?,                       ? )|insert into users      ( NAME,                       PASSWORD,                       TELEPHONE,                       ISADMIN )       values ( '哈哈',                       '202cb962ac59075b964b07152d234b70',                       '12346846354',                       0 )
1562078414219|2|statement|connection 1|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = ?                                                                and PASSWORD = ?                                                                and NAME = ? )|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = 0                                                                and PASSWORD = '202cb962ac59075b964b07152d234b70'                                                                and NAME = '哈哈' )
1562078414247|2|statement|connection 1|select           'false' as QUERYID,           ID, NAME         from type|select           'false' as QUERYID,           ID, NAME         from type
1562078414253|5|statement|connection 1|select           'false' as QUERYID,           ID, NAME, DISTRICT_ID         from street|select           'false' as QUERYID,           ID, NAME, DISTRICT_ID         from street
1562078414317|6|statement|connection 1|SELECT count(0) FROM house h INNER JOIN street s ON h.STREET_ID = s.ID INNER JOIN district d ON s.DISTRICT_ID = d.ID INNER JOIN TYPE t ON h.TYPE_ID = t.id AND ispass = ? AND isdel = ?|SELECT count(0) FROM house h INNER JOIN street s ON h.STREET_ID = s.ID INNER JOIN district d ON s.DISTRICT_ID = d.ID INNER JOIN TYPE t ON h.TYPE_ID = t.id AND ispass = 1 AND isdel = 0
1562078414322|5|statement|connection 1|SELECT h.ID,h.TITLE,h.PRICE,h.FLOORAGE,h.CONTACT,h.path,h.ispass,h.USER_ID userId,h.DESCRIPTION,h.PUBDATE,d.NAME dname,s.NAME sname,t.NAME tname FROM house h     INNER JOIN street s ON h.STREET_ID=s.ID     INNER JOIN district d ON s.DISTRICT_ID=d.ID     INNER JOIN TYPE t ON h.TYPE_ID=t.id              and ispass=? and isdel=? LIMIT 4|SELECT h.ID,h.TITLE,h.PRICE,h.FLOORAGE,h.CONTACT,h.path,h.ispass,h.USER_ID userId,h.DESCRIPTION,h.PUBDATE,d.NAME dname,s.NAME sname,t.NAME tname FROM house h     INNER JOIN street s ON h.STREET_ID=s.ID     INNER JOIN district d ON s.DISTRICT_ID=d.ID     INNER JOIN TYPE t ON h.TYPE_ID=t.id              and ispass=1 and isdel=0 LIMIT 4
1562079054712|1|statement|connection 1|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = ?                                                                and NAME = ? )|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = 0                                                                and NAME = '王五' )
1562079079301|15|statement|connection 1|insert into users      ( NAME,                       PASSWORD,                       TELEPHONE,                       ISADMIN )       values ( ?,                       ?,                       ?,                       ? )|insert into users      ( NAME,                       PASSWORD,                       TELEPHONE,                       ISADMIN )       values ( '王五',                       '202cb962ac59075b964b07152d234b70',                       '13296629349',                       0 )
1562079091731|1|statement|connection 1|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = ?                                                                and PASSWORD = ?                                                                and NAME = ? )|select           'false' as QUERYID,           ID, NAME, PASSWORD, TELEPHONE, ISADMIN         from users                    WHERE (  ISADMIN = 0                                                                and PASSWORD = '202cb962ac59075b964b07152d234b70'                                                                and NAME = '王五' )
1562079091757|1|statement|connection 1|select           'false' as QUERYID,           ID, NAME         from type|select           'false' as QUERYID,           ID, NAME         from type
1562079091761|2|statement|connection 1|select           'false' as QUERYID,           ID, NAME, DISTRICT_ID         from street|select           'false' as QUERYID,           ID, NAME, DISTRICT_ID         from street
